Date,Home Team,Away Team,Game PK,Headline,MP4
2023-05-07,Atlanta Braves,Baltimore Orioles,718277,N/A,N/A
2023-05-07,Pittsburgh Pirates,Toronto Blue Jays,718278,N/A,N/A
2023-05-07,Philadelphia Phillies,Boston Red Sox,718270,N/A,N/A
2023-05-07,New York Mets,Colorado Rockies,718276,N/A,N/A
2023-05-07,Cleveland Guardians,Minnesota Twins,718273,N/A,N/A
2023-05-07,Tampa Bay Rays,New York Yankees,718271,N/A,N/A
2023-05-07,Kansas City Royals,Oakland Athletics,718268,N/A,N/A
2023-05-07,St. Louis Cardinals,Detroit Tigers,718272,N/A,N/A
2023-05-07,Chicago Cubs,Miami Marlins,718269,N/A,N/A
2023-05-07,San Francisco Giants,Milwaukee Brewers,718267,N/A,N/A
2023-05-07,Los Angeles Angels,Texas Rangers,718264,N/A,N/A
2023-05-07,Arizona Diamondbacks,Washington Nationals,718263,N/A,N/A
2023-05-07,Seattle Mariners,Houston Astros,718265,N/A,N/A
2023-05-07,Cincinnati Reds,Chicago White Sox,718262,N/A,N/A
2023-05-07,San Diego Padres,Los Angeles Dodgers,718266,N/A,N/A
2023-06-07,Pittsburgh Pirates,Oakland Athletics,717865,N/A,N/A
2023-06-07,San Diego Padres,Seattle Mariners,717863,N/A,N/A
2023-06-07,Miami Marlins,Kansas City Royals,717860,N/A,N/A
2023-06-07,Tampa Bay Rays,Minnesota Twins,717859,N/A,N/A
2023-06-07,Washington Nationals,Arizona Diamondbacks,717866,N/A,N/A
2023-06-07,Toronto Blue Jays,Houston Astros,717856,N/A,N/A
2023-06-07,Cleveland Guardians,Boston Red Sox,717858,N/A,N/A
2023-06-07,Cincinnati Reds,Los Angeles Dodgers,717853,N/A,N/A
2023-06-07,Atlanta Braves,New York Mets,717850,N/A,N/A
2023-06-07,Milwaukee Brewers,Baltimore Orioles,717851,N/A,N/A
2023-06-07,Texas Rangers,St. Louis Cardinals,717854,N/A,N/A
2023-06-07,Colorado Rockies,San Francisco Giants,717852,N/A,N/A
2023-06-07,Los Angeles Angels,Chicago Cubs,717855,N/A,N/A
2023-06-08,Philadelphia Phillies,Detroit Tigers,717862,N/A,N/A
2023-06-08,New York Yankees,Chicago White Sox,717857,N/A,N/A
2023-07-07,Detroit Tigers,Toronto Blue Jays,717457,N/A,N/A
2023-07-07,Tampa Bay Rays,Atlanta Braves,717460,N/A,N/A
2023-07-07,Miami Marlins,Philadelphia Phillies,717466,N/A,N/A
2023-07-07,Washington Nationals,Texas Rangers,717465,N/A,N/A
2023-07-07,New York Yankees,Chicago Cubs,717464,N/A,N/A
2023-07-07,Cleveland Guardians,Kansas City Royals,717463,N/A,N/A
2023-07-07,Boston Red Sox,Oakland Athletics,717461,N/A,N/A
2023-07-07,Houston Astros,Seattle Mariners,717453,N/A,N/A
2023-07-07,Minnesota Twins,Baltimore Orioles,717458,N/A,N/A
2023-07-07,Chicago White Sox,St. Louis Cardinals,717455,N/A,N/A
2023-07-07,Milwaukee Brewers,Cincinnati Reds,717459,N/A,N/A
2023-07-07,Arizona Diamondbacks,Pittsburgh Pirates,717452,N/A,N/A
2023-07-07,San Diego Padres,New York Mets,717454,N/A,N/A
2023-07-07,Los Angeles Dodgers,Los Angeles Angels,717456,N/A,N/A
2023-07-07,San Francisco Giants,Colorado Rockies,717448,N/A,N/A
